film,filmLabel,locationLabel,boxOffice
http://www.wikidata.org/entity/Q189600,Матрица: Перезагрузка,Сидней,739412035
http://www.wikidata.org/entity/Q200873,Парк юрского периода: Затерянный мир,Нью-Йорк,618638999
http://www.wikidata.org/entity/Q200873,Парк юрского периода: Затерянный мир,Торонто,618638999
http://www.wikidata.org/entity/Q200873,Парк юрского периода: Затерянный мир,Австралия,618638999
http://www.wikidata.org/entity/Q200873,Парк юрского периода: Затерянный мир,Сан-Диего,618638999
http://www.wikidata.org/entity/Q202028,Война миров,Нью-Йорк,603873119
http://www.wikidata.org/entity/Q202028,Война миров,Коннектикут,603873119
http://www.wikidata.org/entity/Q202028,Война миров,Нью-Джерси,603873119
http://www.wikidata.org/entity/Q205028,Железный человек 2,Лос-Анджелес,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Эдвардс,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Флашинг-Медоус — Корона-парк,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Randy's Donuts,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Sony Pictures Studios,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Manhattan Beach Studios,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Downey Studios,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Peacock Theater,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Sepulveda Dam,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Lincoln Heights Jail,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Pasadena Masonic Temple,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,SpaceX Headquarters,623933331
http://www.wikidata.org/entity/Q205028,Железный человек 2,Munger Research Center,623933331
http://www.wikidata.org/entity/Q212965,Голодные игры,Северная Каролина,695220619
http://www.wikidata.org/entity/Q217010,Сумерки. Сага. Затмение,Ванкувер,698491347
http://www.wikidata.org/entity/Q217010,Сумерки. Сага. Затмение,Кокуитлам,698491347
