film,filmLabel,locationLabel,boxOffice
http://www.wikidata.org/entity/Q102244,Гарри Поттер и тайная комната,Хартфордшир,879793867
http://www.wikidata.org/entity/Q102244,Гарри Поттер и тайная комната,Оксфордшир,879793867
http://www.wikidata.org/entity/Q102244,Гарри Поттер и тайная комната,Глостерский собор,879793867
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,"Warner Bros. Studios, Leavesden",978087613
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,Глостерский собор,978087613
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,Лондонский зоопарк,978087613
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,Крайст-черч,978087613
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,Даремский собор,978087613
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,Лиденхолл-маркет,978087613
http://www.wikidata.org/entity/Q17548046,Миссия невыполнима: Племя изгоев,Сент-Панкрас,682716636
http://www.wikidata.org/entity/Q17548046,Миссия невыполнима: Племя изгоев,ExCeL London,682716636
http://www.wikidata.org/entity/Q17548046,Миссия невыполнима: Племя изгоев,Мидл-Темпл,682716636
http://www.wikidata.org/entity/Q17548046,Миссия невыполнима: Племя изгоев,Бромптонское кладбище,682716636
http://www.wikidata.org/entity/Q17548046,Миссия невыполнима: Племя изгоев,Royal Air Force Station Wittering,682716636
http://www.wikidata.org/entity/Q17548046,Миссия невыполнима: Племя изгоев,Fawley Power Station,682716636
http://www.wikidata.org/entity/Q17548046,Миссия невыполнима: Племя изгоев,Great Windmill Street,682716636
http://www.wikidata.org/entity/Q18199331,Фантастические твари: Преступления Грин-де-Вальда,"Warner Bros. Studios, Leavesden",654855901
http://www.wikidata.org/entity/Q18199331,Фантастические твари: Преступления Грин-де-Вальда,Хайгейтское кладбище,654855901
http://www.wikidata.org/entity/Q18199331,Фантастические твари: Преступления Грин-де-Вальда,Аббатство Лакок,654855901
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Нью-Йорк,677718395
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Лос-Анджелес,677718395
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Лондон,677718395
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Катманду,677718395
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Гонконг,677718395
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Эксетер-колледж,677718395
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Pinewood Studios,677718395
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Чертси,677718395
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Shepperton Studios,677718395
http://www.wikidata.org/entity/Q18406872,Доктор Стрэндж,Longcross Studios,677718395
http://www.wikidata.org/entity/Q18486021,Звёздные войны: Последние джедаи,Дубровник,620181382
http://www.wikidata.org/entity/Q18486021,Звёздные войны: Последние джедаи,Солончак Уюни,620181382
http://www.wikidata.org/entity/Q18486021,Звёздные войны: Последние джедаи,Скеллиг-Майкл,620181382
http://www.wikidata.org/entity/Q18486021,Звёздные войны: Последние джедаи,Pinewood Studios,620181382
http://www.wikidata.org/entity/Q18486021,Звёздные войны: Последние джедаи,Бонневилль,620181382
http://www.wikidata.org/entity/Q18547944,Марсианин,Будапешт,630161890
http://www.wikidata.org/entity/Q18547944,Марсианин,Вади-Рам,630161890
http://www.wikidata.org/entity/Q18547944,Марсианин,Korda Studios,630161890
http://www.wikidata.org/entity/Q20501835,Лига справедливости,Лондон,657926987
http://www.wikidata.org/entity/Q20501835,Лига справедливости,Исландия,657926987
http://www.wikidata.org/entity/Q20501835,Лига справедливости,"Warner Bros. Studios, Leavesden",657926987
http://www.wikidata.org/entity/Q23780734,Чёрная пантера,Пусан,700426566
http://www.wikidata.org/entity/Q23780734,Чёрная пантера,Атланта,700426566
http://www.wikidata.org/entity/Q23780734,Чёрная пантера,Непроходимый лес Бвинди,700426566
http://www.wikidata.org/entity/Q23780734,Чёрная пантера,Горы Рувензори,700426566
http://www.wikidata.org/entity/Q23780734,Чёрная пантера,Pinewood Atlanta Studios,700426566
http://www.wikidata.org/entity/Q24053263,Логан,Миссисипи,619021436
http://www.wikidata.org/entity/Q24053263,Логан,Нью-Мексико,619021436
http://www.wikidata.org/entity/Q24053263,Логан,Луизиана,619021436
http://www.wikidata.org/entity/Q24251026,Трансформеры 5: Последний Рыцарь,Аризона,605425157
http://www.wikidata.org/entity/Q56559254,Форсаж: Хоббс и Шоу,McLaren Technology Centre,759056935
http://www.wikidata.org/entity/Q57966215,Блуждающая Земля,Циндао,699760773
http://www.wikidata.org/entity/Q102438,Гарри Поттер и философский камень,Хэрроу,978087613
